All event log messages.
Date:	2017-05-19 16:17:47
System Name:	MCube_6.04.Robot2
Controller Name:	192.168.1.2
Controller Id	120-800253

RobotWare: 6.04.00.01
Key:	
Options:	
	RobotWare Base
	709-1 DeviceNet Master/Slave
	608-1 World Zones
	613-1 Collision Detection
	614-1 FTP and NFS client
	616-1 PC Interface
	617-1 FlexPendant Interface
	689-1 Externally Guided Motion (EGM)
	English
	Auto acknowledge input
	623-1 Multitasking

Robot1
Key:	
Options:	
	IRB 120T-3/0.6
	Axis Calibration
	Drive System IRB 120/140/260/360/910SC/1200/1400/1520/1600/1660ID IRC5 Compact



Common log messages
SeqNo     	Type	Category            	Code    	Title                                   	Date                	Description	Arguments
30025     	I   	Operational         	10151   	Program started                         	2017-05-16 08:59:15 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
30529     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 08:59:22 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
30530     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 08:59:22 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
30531     	E   	Program             	40228   	Execution error                         	2017-05-16 08:59:22 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
30532     	I   	Operational         	10020   	Execution error state                   	2017-05-16 08:59:22 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
30533     	I   	Operational         	10126   	Program stopped                         	2017-05-16 08:59:22 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
30534     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:00:00 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
30535     	I   	Operational         	10021   	Execution error reset                   	2017-05-16 09:00:00 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
30536     	I   	Operational         	10052   	Regain start                            	2017-05-16 09:00:06 	A regain movement has started.	{args: "0"}
30537     	I   	Operational         	10053   	Regain ready                            	2017-05-16 09:00:06 	The regain movement is ready.	{args: "0"}
30538     	I   	Operational         	10151   	Program started                         	2017-05-16 09:00:06 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
31042     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:00:11 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
31043     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:00:11 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
31044     	E   	Program             	40228   	Execution error                         	2017-05-16 09:00:11 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
31045     	I   	Operational         	10020   	Execution error state                   	2017-05-16 09:00:11 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
31046     	I   	Operational         	10126   	Program stopped                         	2017-05-16 09:00:11 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
31047     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:00:36 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
31048     	I   	Operational         	10021   	Execution error reset                   	2017-05-16 09:00:36 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
31049     	I   	Operational         	10052   	Regain start                            	2017-05-16 09:00:41 	A regain movement has started.	{args: "0"}
31050     	I   	Operational         	10053   	Regain ready                            	2017-05-16 09:00:41 	The regain movement is ready.	{args: "0"}
31051     	I   	Operational         	10151   	Program started                         	2017-05-16 09:00:41 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
31555     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:00:45 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
31556     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:00:45 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
31557     	E   	Program             	40228   	Execution error                         	2017-05-16 09:00:45 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
31558     	I   	Operational         	10020   	Execution error state                   	2017-05-16 09:00:45 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
31559     	I   	Operational         	10126   	Program stopped                         	2017-05-16 09:00:46 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
31560     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:00:58 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
31561     	I   	Operational         	10021   	Execution error reset                   	2017-05-16 09:00:58 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
31562     	I   	Operational         	10052   	Regain start                            	2017-05-16 09:01:03 	A regain movement has started.	{args: "0"}
31563     	I   	Operational         	10053   	Regain ready                            	2017-05-16 09:01:03 	The regain movement is ready.	{args: "0"}
31564     	I   	Operational         	10151   	Program started                         	2017-05-16 09:01:03 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
31566     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:01:05 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
31567     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:01:05 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
31568     	E   	Program             	40228   	Execution error                         	2017-05-16 09:01:05 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
31569     	I   	Operational         	10020   	Execution error state                   	2017-05-16 09:01:05 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
31570     	I   	Operational         	10126   	Program stopped                         	2017-05-16 09:01:05 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
31571     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:01:11 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
31572     	I   	Operational         	10021   	Execution error reset                   	2017-05-16 09:01:11 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
31573     	I   	Operational         	10052   	Regain start                            	2017-05-16 09:01:14 	A regain movement has started.	{args: "0"}
31574     	I   	Operational         	10053   	Regain ready                            	2017-05-16 09:01:14 	The regain movement is ready.	{args: "0"}
31575     	I   	Operational         	10151   	Program started                         	2017-05-16 09:01:14 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
32079     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:01:21 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
32080     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:01:21 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
32081     	E   	Program             	40228   	Execution error                         	2017-05-16 09:01:21 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
32082     	I   	Operational         	10020   	Execution error state                   	2017-05-16 09:01:21 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
32083     	I   	Operational         	10126   	Program stopped                         	2017-05-16 09:01:21 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
32084     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:02:03 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
32085     	I   	Operational         	10021   	Execution error reset                   	2017-05-16 09:02:03 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
32086     	I   	Operational         	10052   	Regain start                            	2017-05-16 09:02:11 	A regain movement has started.	{args: "0"}
32087     	I   	Operational         	10053   	Regain ready                            	2017-05-16 09:02:11 	The regain movement is ready.	{args: "0"}
32088     	I   	Operational         	10151   	Program started                         	2017-05-16 09:02:11 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
33724     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:02:21 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
33725     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:02:21 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
33726     	E   	Program             	40228   	Execution error                         	2017-05-16 09:02:21 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
33727     	I   	Operational         	10020   	Execution error state                   	2017-05-16 09:02:21 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
33728     	I   	Operational         	10126   	Program stopped                         	2017-05-16 09:02:21 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
33729     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:02:44 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
33730     	I   	Operational         	10021   	Execution error reset                   	2017-05-16 09:02:44 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
33731     	I   	Operational         	10052   	Regain start                            	2017-05-16 09:02:55 	A regain movement has started.	{args: "0"}
33732     	I   	Operational         	10053   	Regain ready                            	2017-05-16 09:02:55 	The regain movement is ready.	{args: "0"}
33733     	I   	Operational         	10151   	Program started                         	2017-05-16 09:02:55 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
35737     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:03:05 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
35738     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:03:05 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
35739     	E   	Program             	40228   	Execution error                         	2017-05-16 09:03:05 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
35740     	I   	Operational         	10020   	Execution error state                   	2017-05-16 09:03:05 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
35741     	I   	Operational         	10126   	Program stopped                         	2017-05-16 09:03:05 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
35742     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:03:27 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
35743     	I   	Operational         	10021   	Execution error reset                   	2017-05-16 09:03:27 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
35744     	I   	Operational         	10052   	Regain start                            	2017-05-16 09:03:33 	A regain movement has started.	{args: "0"}
35745     	I   	Operational         	10053   	Regain ready                            	2017-05-16 09:03:33 	The regain movement is ready.	{args: "0"}
35746     	I   	Operational         	10151   	Program started                         	2017-05-16 09:03:33 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
37750     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:03:44 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
37751     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:03:44 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
37752     	E   	Program             	40228   	Execution error                         	2017-05-16 09:03:44 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
37753     	I   	Operational         	10020   	Execution error state                   	2017-05-16 09:03:44 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
37754     	I   	Operational         	10126   	Program stopped                         	2017-05-16 09:03:44 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
37755     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:05:08 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
37756     	I   	Operational         	10021   	Execution error reset                   	2017-05-16 09:05:08 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
37757     	I   	Operational         	10052   	Regain start                            	2017-05-16 09:05:13 	A regain movement has started.	{args: "0"}
37758     	I   	Operational         	10053   	Regain ready                            	2017-05-16 09:05:13 	The regain movement is ready.	{args: "0"}
37759     	I   	Operational         	10151   	Program started                         	2017-05-16 09:05:13 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
38874     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:05:20 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
38875     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:05:20 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
38876     	E   	Program             	40228   	Execution error                         	2017-05-16 09:05:20 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
38877     	I   	Operational         	10020   	Execution error state                   	2017-05-16 09:05:20 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
38878     	I   	Operational         	10126   	Program stopped                         	2017-05-16 09:05:20 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
38879     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:11:40 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
38880     	I   	Operational         	10021   	Execution error reset                   	2017-05-16 09:11:40 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
38881     	I   	Operational         	10052   	Regain start                            	2017-05-16 09:11:42 	A regain movement has started.	{args: "0"}
38882     	I   	Operational         	10053   	Regain ready                            	2017-05-16 09:11:42 	The regain movement is ready.	{args: "0"}
38883     	I   	Operational         	10151   	Program started                         	2017-05-16 09:11:42 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
38885     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:11:44 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
38886     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:11:44 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
38887     	E   	Program             	40228   	Execution error                         	2017-05-16 09:11:44 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
38888     	I   	Operational         	10020   	Execution error state                   	2017-05-16 09:11:44 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
38889     	I   	Operational         	10126   	Program stopped                         	2017-05-16 09:11:44 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
38890     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:11:49 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
38891     	I   	Operational         	10021   	Execution error reset                   	2017-05-16 09:11:49 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
38892     	I   	Operational         	10052   	Regain start                            	2017-05-16 09:11:52 	A regain movement has started.	{args: "0"}
38893     	I   	Operational         	10053   	Regain ready                            	2017-05-16 09:11:52 	The regain movement is ready.	{args: "0"}
38894     	I   	Operational         	10151   	Program started                         	2017-05-16 09:11:52 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
40024     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:11:59 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
40025     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:11:59 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
40026     	E   	Program             	40228   	Execution error                         	2017-05-16 09:11:59 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
40027     	I   	Operational         	10020   	Execution error state                   	2017-05-16 09:11:59 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
40028     	I   	Operational         	10126   	Program stopped                         	2017-05-16 09:11:59 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
40029     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:18:44 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
40030     	I   	Operational         	10021   	Execution error reset                   	2017-05-16 09:18:44 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
40031     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:20:07 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
40032     	I   	Operational         	10052   	Regain start                            	2017-05-16 09:20:15 	A regain movement has started.	{args: "0"}
40033     	I   	Operational         	10053   	Regain ready                            	2017-05-16 09:20:15 	The regain movement is ready.	{args: "0"}
40034     	I   	Operational         	10151   	Program started                         	2017-05-16 09:20:15 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
42037     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:20:26 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
42038     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:20:26 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
42039     	E   	Program             	40228   	Execution error                         	2017-05-16 09:20:26 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
42040     	I   	Operational         	10020   	Execution error state                   	2017-05-16 09:20:26 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
42041     	I   	Operational         	10126   	Program stopped                         	2017-05-16 09:20:26 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
42042     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:29:53 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
42043     	I   	Operational         	10021   	Execution error reset                   	2017-05-16 09:29:53 	The program execution in task T_ROB1 has left a spontaneous error state.	{args: "1", "T_ROB1"}
42044     	I   	Operational         	10052   	Regain start                            	2017-05-16 09:30:02 	A regain movement has started.	{args: "0"}
42045     	I   	Operational         	10053   	Regain ready                            	2017-05-16 09:30:02 	The regain movement is ready.	{args: "0"}
42046     	I   	Operational         	10151   	Program started                         	2017-05-16 09:30:02 	Execution of task T_ROB1 has been started from the first instruction of the task's entry routine. The originator is an external client.	{args: "1", "T_ROB1"}
43204     	W   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:30:09 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
43205     	E   	Program             	41822   	No data from the UdpUc device           	2017-05-16 09:30:09 	Task: T_ROB1.No expected data packets have been received for the EGM instance egmID1 during  1.00 seconds. Rapid Ref: /EGM_test_UDP/main/EGMRunPose/53.	{args: "T_ROB1", "/EGM_test_UDP/main/EGMRunPose/53", " 1.00", "egmID1", "EGMSensor"}
43206     	E   	Program             	40228   	Execution error                         	2017-05-16 09:30:09 	The execution of task T_ROB1 has been stopped by a runtime error 41822.	{args: "T_ROB1", "41822"}
43207     	I   	Operational         	10020   	Execution error state                   	2017-05-16 09:30:09 	The program execution in task T_ROB1 has been stopped due to a spontaneous error.	{args: "1", "T_ROB1"}
43208     	I   	Operational         	10126   	Program stopped                         	2017-05-16 09:30:09 	The task T_ROB1 has stopped. The reason is that an error has occurred.	{args: "1", "T_ROB1"}
43209     	I   	Operational         	10002   	Program pointer has been reset          	2017-05-16 09:30:55 	The program pointer of task T_ROB1 has been reset.	{args: "1", "0", "T_ROB1"}
